PHI-base accession no	PHI-base accession	DB_Type	Accession	Locus ID	Associated strain	Gene name	Genome location	Multiple mutation	Pathogen NCBI Taxonomy ID	Pathogen species	Strain	Disease name	Monocot/Dicot plant	Host NCBI Taxonomy ID	Experimental host	Function	GO annotation	Database	Pathway	Phenotype of mutant	Mating defect prior to penetration	Pre-penetration defect	Penetration defect	Post-penetration defect	Vegetative spores	Sexual spores	In vitro growth	Spore germination	Inducer	CAS	Host target	Host response	Experimental evidence	Species Expert	Entered by	Literature ID	Literature source	DOI	Comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2		PHI:2884; PHI:2885; PHI:2886; PHI:2887;  PHI:2888 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2884	PHI:2884	Uniprot	Q59KJ7	EAK91003	SC5314	MNN21		PHI:2883; PHI:2885; PHI:2886; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2885	PHI:2885	Uniprot	Q5AD72	EAL00561 	SC5314	MNN22		PHI:2883; PHI:2884; PHI:2886; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2886	PHI:2886	Uniprot	Q5AP90	EAL04667	SC5314	MNN23		PHI:2883; PHI:2884; PHI:2885; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2887	PHI:2887	Uniprot	Q5A687	EAK98234 	SC5314	MNN24		PHI:2883; PHI:2884; PHI:2885; PHI:2886; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2888	PHI:2888	Uniprot	Q59R28	EAK92925	SC5314	MNN26 		PHI:2883; PHI:2884; PHI:2885; PHI:2886; PHI:2887	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2		PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2888	PHI:2888	Uniprot	Q59R28	EAK92925	SC5314	MNN26 		PHI:2883	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		10090	Mouse	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2			5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2885	PHI:2885	Uniprot	Q5AD72	EAL00561 	SC5314	MNN22			5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2887	PHI:2887	Uniprot	Q5A687	EAK98234 	SC5314	MNN24			5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2		PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2888	PHI:2888	Uniprot	Q59R28	EAK92925	SC5314	MNN26 		PHI:2883	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2		PHI:2884; PHI:2885; PHI:2886; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2884	PHI:2884	Uniprot	Q59KJ7	EAK91003	SC5314	MNN21		PHI:2883; PHI:2885; PHI:2886; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2885	PHI:2885	Uniprot	Q5AD72	EAL00561 	SC5314	MNN22		PHI:2883; PHI:2884; PHI:2886; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2886	PHI:2886	Uniprot	Q5AP90	EAL04667	SC5314	MNN23		PHI:2883; PHI:2884; PHI:2885; PHI:2887; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2887	PHI:2887	Uniprot	Q5A687	EAK98234 	SC5314	MNN24		PHI:2883; PHI:2884; PHI:2885; PHI:2886; PHI:2888	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2888	PHI:2888	Uniprot	Q59R28	EAK92925	SC5314	MNN26 		PHI:2883; PHI:2884; PHI:2885; PHI:2886; PHI:2887	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2883	PHI:2883	Uniprot	Q59WL2	EAK94912	SC5314	MNN2		PHI:2885; PHI:2886; PHI:2887; PHI:2888; 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2885	PHI:2885	Uniprot	Q5AD72	EAL00561 	SC5314	MNN22		PHI:2883; PHI:2886; PHI:2887; PHI:2888; 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2886	PHI:2886	Uniprot	Q5AP90	EAL04667	SC5314	MNN23		PHI:2883; PHI:2885; PHI:2887; PHI:2888; 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2887	PHI:2887	Uniprot	Q5A687	EAK98234 	SC5314	MNN24		PHI:2883; PHI:2885; PHI:2886; PHI:2888; 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2888	PHI:2888	Uniprot	Q59R28	EAK92925	SC5314	MNN26 		PHI:2883; PHI:2885; PHI:2886; PHI:2887; 	5476	Candida albicans	CAI-4+CIp10	Disseminated candidiasis		7137	Greater wax moth	Mannosyltransferase Family				Reduced virulence													gene deletion	na	RP	23633946	Pubmed	10.1371/jo urnal.ppat.1003276	no comments
2889	PHI:2889	Uniprot	Q0GBR6	ABI35958	CTG; CEP	Rop18			5811	Toxoplasma gondii	RH	Toxoplasmic encephalitis		10090	Mouse	Serine threonine kinase				Reduced virulence													gene deletion	na	RP	23633952	Pubmed	10.1371/journal .ppat.1003320	no comments
2889	PHI:2889	Uniprot	Q0GBR6	ABI35958	CTG; CEP	Rop18			5811	Toxoplasma gondii	RH	Toxoplasmic encephalitis		10090	Mouse	Serine threonine kinase				Increased virulence													gene deletion	na	RP	23633952	Pubmed	10.1371/journal .ppat.1003320	no comments
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: silencing	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: silencing	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: silencing	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: silencing	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: overexpression	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: overexpression	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: overexpression	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													altered gene expression / gene regulation: overexpression	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2890	PHI:2890	Uniprot	B2C6F5	KC312950	P7063	Avr1k			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2891	PHI:2891	Uniprot	G4ZRQ8	KC312957	P7064	Avr1b-1			67593	Phytophthora sojae	P6954 	Soybean stem and root rot agent		3847	Soybean	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23530601	Pubmed	10.1094/MPMI-12-12-0289-R	Avirulence phenotype in the presence of  Rps1k in soybean
2892	PHI:2892	Uniprot	B9K1X3	ACM38871	S4	F-Avi5813	Chromosome 2		373	Agrobacterium vitis	F2/5	Crown gall of grapes		29760	Grapes	Phosphopantetheinyl transferase				Loss of pathogenicity							wild type						gene disruption; complementation	na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
2893	PHI:2893	Uniprot	B9K1Q7	ACM38805	S4	F-avi5730	Chromosome 2		373	Agrobacterium vitis	F2/5	Crown gall of grapes		29760	Grapes	Peptide synthetase				Unaffected pathogenicity													gene disruption; complementation	na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
2894	PHI:2894	Uniprot	B9JZT5	ACM37395	S4	F-avi3342	Chromosome 1		373	Agrobacterium vitis	F2/5	Crown gall of grapes		29760	Grapes	Peptide synthetase				Loss of pathogenicity													gene disruption; complementation	na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
2895	PHI:2895	Uniprot	B9JV05	ACM38143	S4	F-avi4330	Chromosome 1		373	Agrobacterium vitis	F2/5	Crown gall of grapes		29760	Grapes	Polyketide synthetase protein				Loss of pathogenicity													gene disruption; complementation	na	RP	23581823	Pubmed	10.1094/MPMI-12-12-0295-R	no comments
2904	PHI:2904	Uniprot	M1T205	JX134488		Me10			13131	Macrosiphum euphorbiae				4100	Nicotiana benthamiana	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
2905	PHI:2905	Uniprot	M1T210	JX134493		Me23			13131	Macrosiphum euphorbiae				4100	Nicotiana benthamiana	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
2904	PHI:2904	Uniprot	M1T205	JX134488		Me10			13131	Macrosiphum euphorbiae				4081	Tomato	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
2904	PHI:2904	Uniprot	M1T205	JX134488		Me10			13131	Macrosiphum euphorbiae				4081	Tomato	Effector protein				Effector (plant avirulence determinant)													functional test in host	na	RP	23194342	Pubmed	10.1094/MPMI-06-12-0144-FI	Agrobacterium tumefaciens GV3101 
2906	PHI:2906	Uniprot	D4HUY5	CBA19258	CFBP1430	rpoN			552	Erwinia amylovora	HKN06P1	Fire blight		3750	Apple	Sigma factor, regulating essential virulence gene expression				Loss of pathogenicity													mutation	na	RP	23721085	Pubmed	10.1111/mpp.12045	no comments
2906	PHI:2906	Uniprot	D4HUY5	CBA19258	CFBP1430	rpoN			552	Erwinia amylovora	HKN06P1	Fire blight		3750	Apple	Sigma factor, regulating essential virulence gene expression				Loss of pathogenicity													mutation	na	RP	23721085	Pubmed	10.1111/mpp.12045	no comments
2907	PHI:2907	Uniprot	I6YDU0	AFN66169	16D1	Cyp51A			5518	Fusarium graminearum	PH-1	Fusarium head blight	Monocot	4565	Wheat	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides			Sterol biosynthesis pathway	Unaffected pathogenicity					wild type		wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole				gene deletion	na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
2908	PHI:2908	Uniprot				Cyp51B			5518	Fusarium graminearum	PH-1	Fusarium head blight	Monocot	4565	Wheat	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides			Sterol biosynthesis pathway	Unaffected pathogenicity					reduced		wild type	reduced	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole				gene deletion	na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
2909	PHI:2909	Uniprot				Cyp51C			5518	Fusarium graminearum	PH-1	Fusarium head blight	Monocot	4565	Wheat	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides			Sterol biosynthesis pathway	Reduced virulence					wild type		wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole				gene deletion	na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
2907	PHI:2907	Uniprot	I6YDU0	AFN66169	16D1	Cyp51A		PHI:2909	5518	Fusarium graminearum	PH-1	Fusarium head blight	Monocot	4565	Wheat	P450 sterol 14a -demethylase, an enzyme essential for sterol biosynthesis and the target of azole fungicides			Sterol biosynthesis pathway	Reduced virulence					wild type		wild type	wild type	Tebuconazole; Epoxiconazole; Propiconazole; Imazalil; Metconazole; Prochloraz; Difenoconazole				gene deletion	na	RP	23442154	Pubmed	10.1111/nph.12193	Sensitivity to group 1, which includes tebuconazole, epoxiconazole, propiconazole and imazalil, is only affected signiﬁcantly by FgCYP51A deletion'/ Deletions of both FgCYP51A and FgCYP51B increased the sensitivity to Group 2 compunds which include metconazole, prochloraz and difenoconazole
